"ensembl_gene_id" "peak" "chr" "start" "end" "fc" "p.x" "gene_name" "description" "chromosome_name" "start_position" "end_position" "strand" "genes" "logFC" "logCPM" "LR" "p.y" "FDR" "CFDR"
"ENSGACG00000000060" "scaffold_99-11" "scaffold_99" 38969 39173 2.68 5.4e-07 "raf1a" "v-raf-1 murine leukemia viral oncogene homolog 1a [Source:ZFIN;Acc:ZDB-GENE-990415-41]" "scaffold_99" 29930 39298 -1 "ENSGACG00000000060" -0.114616975669072 3.65686415113339 0.801803367744068 0.370554738591783 0.999947153124525 0.911582773497803
"ENSGACG00000000081" "scaffold_99-6" "scaffold_99" 301767 301971 2.07 1.32e-05 "SUSD3" "sushi domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28391]" "scaffold_99" 284369 287918 1 "ENSGACG00000000081" -0.121800800173389 -0.178910257734193 0.11131250450005 0.738654787599212 0.999947153124525 0.999832494075397
"ENSGACG00000000084" "scaffold_99-6" "scaffold_99" 301767 301971 2.07 1.32e-05 "" "" "scaffold_99" 302816 334997 1 "ENSGACG00000000084" 0.0189830917343921 5.47373186967339 0.0174831821720431 0.894807130502723 0.999947153124525 0.999832494075397
"ENSGACG00000000111" "scaffold_95-20" "scaffold_95" 391259 391463 3.47 8.96e-06 "cubn" "cubilin (intrinsic factor-cobalamin receptor) [Source:ZFIN;Acc:ZDB-GENE-060228-6]" "scaffold_95" 388665 426113 -1 "ENSGACG00000000111" -0.878975548592959 0.335694347249561 2.20760521878916 0.137331711517774 0.999947153124525 0.548837213505268
"ENSGACG00000000123" "scaffold_740-1" "scaffold_740" 7303 7507 2.72 3.85e-05 "GTPBP1 (1 of 2)" "GTP binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4669]" "scaffold_740" 7379 9953 1 "ENSGACG00000000123" -0.0185805348735836 3.2444023685374 0.020996465107892 0.884788586513635 0.999947153124525 0.999832494075397
"ENSGACG00000000151" "scaffold_58-15" "scaffold_58" 1103366 1103570 3.18 3.83e-06 "" "" "scaffold_58" 1078466 1084416 -1 "ENSGACG00000000151" -0.0170249824670754 3.59828772491688 0.00152835310677801 0.968815319496847 0.999947153124525 0.999832494075397
"ENSGACG00000000159" "scaffold_216-6" "scaffold_216" 31102 31306 3.61 8.81e-08 "abch1" "ATP-binding cassette, sub-family H, member 1 [Source:ZFIN;Acc:ZDB-GENE-050517-42]" "scaffold_216" 22320 32341 -1 "ENSGACG00000000159" -0.129608059618941 5.01946367907207 0.496215376437018 0.481167789937835 0.999947153124525 0.973256355349586
"ENSGACG00000000310" "scaffold_69-20" "scaffold_69" 697273 697477 6.58 2.97e-10 "zeb2a" "zinc finger E-box binding homeobox 2a [Source:ZFIN;Acc:ZDB-GENE-070912-553]" "scaffold_69" 675685 685685 -1 "ENSGACG00000000310" -0.0102867428308236 4.26167965808036 0.003764268339701 0.951077577884701 0.999947153124525 0.999832494075397
"ENSGACG00000000311" "scaffold_69-20" "scaffold_69" 697273 697477 6.58 2.97e-10 "epc2" "enhancer of polycomb homolog 2 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-040426-802]" "scaffold_69" 762591 778555 1 "ENSGACG00000000311" 0.0207812874437324 4.34904999587727 0.0585371282756419 0.808823188733901 0.999947153124525 0.999832494075397
"ENSGACG00000000316" "scaffold_27-311" "scaffold_27" 104787 104991 3.18 3.83e-06 "nek4" "NIMA (never in mitosis gene a)-related kinase 4 [Source:ZFIN;Acc:ZDB-GENE-040426-1392]" "scaffold_27" 95883 102349 -1 "ENSGACG00000000316" -0.0519021312531218 5.41492190031858 0.365719210150271 0.54534696231042 0.999947153124525 0.990441709641713
