"ensembl_gene_id" "peak" "chr" "start" "end" "fc" "p.x" "mgi_symbol" "mgi_description" "chromosome_name" "start_position" "end_position" "strand" "band" "duplicate" "logFC_trended_only_disp" "logCPM_trended_only_disp" "p.y" "FDR_trended_only_disp"
"ENSMUSG00000000120" "chr11-2345" "chr11" 95471886 95472084 2.08 5.02e-06 "Ngfr" "nerve growth factor receptor (TNFR superfamily, member 16)" "11" 95430132 95449049 -1 "D" NA 0.3416674244 3.4385101065 0.0261 0.856
"ENSMUSG00000000194" "chr2-3685" "chr2" 31061761 31061959 2.26 5.99e-05 "Gpr107" "G protein-coupled receptor 107" "2" 31007836 31075068 1 "B" NA -0.0558345475 6.0523567293 0.5412647542 1
"ENSMUSG00000000194" "chr2-6355" "chr2" 31057587 31057785 2.87 8.65e-06 "Gpr107" "G protein-coupled receptor 107" "2" 31007836 31075068 1 "B" NA -0.0558345475 6.0523567293 0.5412647542 1
"ENSMUSG00000000202" "chr11-6407" "chr11" 114651986 114652184 3.35 5.18e-06 "Btbd17" "BTB (POZ) domain containing 17" "11" 114652531 114657259 -1 "E2" NA 0.1907255083 3.6032966032 0.1937457781 1
"ENSMUSG00000000223" "chrX-515" "chrX" 130940011 130940209 2.2 2.42e-06 "Drp2" "dystrophin related protein 2" "X" 130939090 130991112 1 "E3" NA -0.0835712116 6.2412924959 0.3537611123 1
"ENSMUSG00000000223" "chrX-1217" "chrX" 130943613 130943797 2.98 2.48e-05 "Drp2" "dystrophin related protein 2" "X" 130939090 130991112 1 "E3" NA -0.0835712116 6.2412924959 0.3537611123 1
"ENSMUSG00000000247" "chr2-3296" "chr2" 38194992 38195190 2.09 8.66e-05 "Lhx2" "LIM homeobox protein 2" "2" 38194801 38225253 1 "B" NA -0.3466210475 3.2846131014 0.0293 0.914
"ENSMUSG00000000301" "chr11-6673" "chr11" 59842433 59842631 3.83 1.4e-06 "Pemt" "phosphatidylethanolamine N-methyltransferase" "11" 59784116 59859991 -1 "B1.3" NA 0.1153285309 0.9955021836 0.6499365876 1
"ENSMUSG00000000305" "chr2-6226" "chr2" 179537929 179538127 2.44 8.21e-05 "Cdh4" "cadherin 4" "2" 179177136 179634078 1 "H4" NA -0.2414375396 5.8575979628 0.00951 0.472
"ENSMUSG00000000305" "chr2-8528" "chr2" 179541903 179542101 3.26 6.9e-05 "Cdh4" "cadherin 4" "2" 179177136 179634078 1 "H4" NA -0.2414375396 5.8575979628 0.00951 0.472
